priority,name,,,,,,,,,,,,,,,,
99999999,red dragon,,,,,,,,,,,,,,,,
99999998,goblin bomber,,,,,,,,,,,,,,,,
99999997,blue dragon,,,,,,,,,,,,,,,,
99999997,shopkeepers and pawnbroker,,,,,,,,,,,,,,,,
99999996,blademaster,,,,,,,,,,,,,,,,
99999995,apprentice blademaster,,,,,,,,,,,,,,,,
99100000,conga line zombies,,,,,,,,,,,,,,,,
99000000,king conga,,,,,,,,,,,,,,,,
80000000,leprechaun,,,,,,,,,,,,,,,,
49000000,king,,,,,,,,,,,,,,,,
48000000,queen,,,,,,,,,,,,,,,,
47000000,rook,,,,,,,,,,,,,,,,
46000000,bishop,,,,,,,,,,,,,,,,
45000000,knight,,,,,,,,,,,,,,,,
44000000,pawn,,,,,,,,,,,,,,,,
41000001,golden lute body,,,,,,,,,,,,,,,,
41000000,golden lute head,,,,,,,,,,,,,,,,
40606100,dead ringer,,,,,,,,,,,,,,,,
40309300,death metal,,,,,,,,,,,,,,,,
40309300,necrodancer 1~2,,,,,,,,,,,,,,,,
40302202,black drum tentacle,,,,,,,,,,,,,,,,
40302202,black horn tentacle,,,,,,,,,,,,,,,,
40302202,black violin tentacle,,,,,,,,,,,,,,,,
40302202,black keyboard tentacle,,,,,,,,,,,,,,,,
40302100,coral riff,,,,,,,,,,,,,,,,
40202100,fortissimole,,,,,,,,,,,,,,,,
40201202,drum tentacle,,,,,,,,,,,,,,,,
40201202,horn tentacle,,,,,,,,,,,,,,,,
40201202,violin tentacle,,,,,,,,,,,,,,,,
40201202,keyboard tentacle,,,,,,,,,,,,,,,,
40103400,conductor,,,,,,,,,,,,,,,,
40040100,frankensteinway,,,,,,,,,,,,,,,,
30608220,earth dragon,,,,,,,,,,,,,,,,
30604115,green banshee,,,,,,,,,,,,,,,,
30505215,blood nightmare,,,,,,,,,,,,,,,,
30505115,ogre,,,,,,,,,,,,,,,,
30505115,green metrognome,,,,,,,,,,,,,,,,
30505115,dark minotaur,,,,,,,,,,,,,,,,
30405215,mommy,,,,,,,,,,,,,,,,
30404210,green dragon,,,,,,,,,,,,,,,,
30403215,brown direbat,,,,,,,,,,,,,,,,
30403210,nightmare,,,,,,,,,,,,,,,,
30403115,gold metrognome,,,,,,,,,,,,,,,,
30403110,blue banshee,,,,,,,,,,,,,,,,
30403110,light minotaur,,,,,,,,,,,,,,,,
30302210,yellow direbat,,,,,,,,,,,,,,,,
30201103,mummy,,,,,,,,,,,,,,,,
20607407,dark golem,,,,,,,,,,,,,,,,
20510407,ooze golem,,,,,,,,,,,,,,,,
20405404,light golem,,,,,,,,,,,,,,,,
20302302,fire elemental,,,,,,,,,,,,,,,,
20302302,ice elemental,,,,,,,,,,,,,,,,
20301403,yeti,,,,,,,,,,,,,,,,
19901101,green slime,,,,,,,,,,,,,,,,
10603106,black skeleton knight,,,,,,,,,,,,,,,,
10602105,grey goblin,,,,,,,,,,,,,,,,
10503206,black armored skeleton,,,,,,,,,,,,,,,,
10503206,black windmage,,,,,,,,,,,,,,,,
10404402,black lich,,,,,,,,,,,,,,,,
10404302,red lich,,,,,,,,,,,,,,,,
10404202,lich,,,,,,,,,,,,,,,,
10403303,purple mushroom,,,,,,,,,,,,,,,,
10403204,golden electric mage,,,,,,,,,,,,,,,,
10403204,black skeleton,,,,,,,,,,,,,,,,
10403200,black skull,,,,,,,,,,,,,,,,
10402305,green devil,,,,,,,,,,,,,,,,
10402204,yellow windmage,,,,,,,,,,,,,,,,
10402104,yellow skeleton knight,,,,,,,,,,,,,,,,
10401302,neon warlock,,,,,,,,,,,,,,,,
10401202,spider,,,,,,,,,,,,,,,,
10401202,warlock,,,,,,,,,,,,,,,,
10401120,black bat,,,,,,,,,,,,,,,,
10401103,purple goblin,,,,,,,,,,,,,,,,
10401102,pixie,,,,,,,,,,,,,,,,
10401102,gargoyle,,,,,,,,,,,,,,,,
